,seeds1,seeds2,moves,player1,player2
55443,12,26,462316145216134565415144553161516521554355141655144556312115514256141613164565365263223365514,6073,5061
55449,30,18,46231611541265522114132254132435265431552315345615224655315243546,5061,504
55458,16,25,46231412462443142114543165642135135332653445512566653111336252362542113423566,3270,5061
55464,19,29,4623125116231253252154512342516551662211524524315244255355445645315643512244556,246,5061
55472,26,7,46231154126251416152255661221524532536635,5061,2257
55476,10,27,4623115113421351425324214264262314255661123,1260,5061
55594,26,13,4622365613161113463413312521411612614465314226251433153445162161426112335,5061,3712
55605,25,18,4622162454234624521114561322553423346312234354534451346251441352244354356655124455234534455266332514412552345562415366425134231544352243344566315,5061,3712
55607,13,28,462216245421412556445513241615122453446625466151221354455635522654253362114125161245244562363315342536554,5495,5061
55609,7,25,462216245244254132456511426133453632465644154315233464311326351664251241324425335331126,5495,5061
55610,7,25,4622162433622423314123613622114615554445523251215544533442531666415,5495,5061
55614,16,26,4622162151255322161411516556612365521614134161512354614231126236145146331635143542622143355632451321615144523553441556645145521435432546243516526,5495,5061
55617,26,18,462214544316542114536556126433226655614,5061,3270
55618,13,25,462214533251362453221615113653116631541532262235116156131224533456151646356,356,5061
55623,26,7,4622135412336321513226133564352662334524354663423142134435265,5061,3712
55630,15,26,46221352151653311553325366145563256455334135446115512344355631416125322416151364352652632415164132244513344526625,5495,5061
55631,18,25,462213521514455221541326665443562514266511423662436,5495,5061
55632,11,25,4622135215143425122613465115463325122334166,5495,5061
55634,14,26,462213511346211456455642552453445526354654155344312253344615166523152415265331124122431534154663342512435,5495,5061
55636,8,26,4622135113423352435466441564153322635,4998,5061
55647,25,6,46221151131552455223544161432244166543244615266112233,5061,246
55648,18,25,46221151131223542251436451435425645143356445625145566251455423125465415234455314213262464513513445224334462516615,1765,5061
55988,8,40,4565235324345543542265425334554665344155342152144553355445511223344652154334452651423344251651221324354651126,2229,5061
56170,6,27,4563343631151124453143554455334422215145344215443543146421421555143543253452435566252653423426215435531531542165512436,3204,5061
56256,12,26,4562343125136231412443664156221445216113253116134134562215234435,3204,5061
56257,12,25,456234134534451161256455661122564533245542233445165344125331524554235436151666,246,5061
56279,12,27,456224151341334415265524653455435462151425334451651221324354651126,8066,5061
56280,9,30,45622415116331442526453316624134426155663213,8066,5061
56309,8,30,45615165222533342141523341162133635163441254161324316445,1062,5061
56311,26,15,4561264265513336354255214254255363366534452211513326126546,5061,8066
56323,14,29,4561163113142532163513513543235146151624135145563215244354315366,246,5061
56339,25,16,4556436415421544623514524115144316521446556136422662436,5061,2068
56429,7,26,4553254255233542531542334151655465415231565215415233153614154651324354156514534536341561522,2229,5061
56430,6,28,45532542532531113223364536446524451161433144225324464516635,2229,5061
56431,25,19,45532542325135432534465544556544363546623346161121514154335534425423311612451154355244561363161446352264455622334415216,5061,3270
56432,26,10,45532542324551245125416451222445266325544625561534156251462,5061,1952
56438,25,16,4553245212552455431152254462552446652445533635266243653415266142332415516,5061,2229
56439,25,15,45532451323631534411443552653144261513514253352435415166455114352342533615261415264122136,5061,2068
56440,26,15,45532451323443213254435411342352436445566544256611315,5061,8066
56441,27,10,45532451315215421324365514256526413,5061,3412
56444,10,26,4553242223541354425324316451455335614322531655435221524355315243543546665132416,1062,5061
56447,29,13,4553225115514256665142552614114262231524453544233411655145521435435524166,5061,3549
56448,14,27,4553225115514256652315245543241223352462315161415263122133425561141324324354651122334455666,1062,5061
56449,12,27,4553225115514254251324566541516131432615326224415,1062,5061
56450,17,25,45532244115544552113544556435564512513565546542541364151664155344322245346443511534464513553224336151614154662526321521546341523443551426,8066,5061
56451,11,27,455322331516411342234615246544324455445533634422314351666,8066,5061
56453,4,32,4553215212534152262142151325632421423443164233441122455546315243546,1062,5061
56454,26,13,455321446542415522544313322135246141144523534436615542566215334,5061,504
56455,11,25,455321342142124334464332436445334426451132625,1062,5061
56463,41,7,4553141551325514534551641355445214332246326112361443644221423443155514455651315243542511524354266,5061,2229
56514,14,25,45522514313544221556431441512622142365336422351334253662332435164465235,3210,5061
56519,26,11,4552241611511232534654664566236451431661511223143243566,5061,4997
56520,16,28,45522413215443512214314263466421423645433245243341554452354462511514416125514355345245132435466,8124,5061
56521,12,25,45522413144154251651241553452455665131235544553245543341522433461514514655122653146,1062,5061
